Flume,Treatment,Family,Type,d15N,perc_N,d13C,perc_C,C_N,Concd15N,Concd13C
Flume 1,ALAN + Crayfish,Tetragnathidae,Spider,7.681083333,12.20655544,-26.4615,44.98294411,3.685146422,0.122065554,0.449829441
Flume 1,ALAN + Crayfish,Tetragnathidae,Spider,7.295083333,11.90359167,-25.9205,45.42403108,3.815993722,0.119035917,0.454240311
Flume 1,ALAN + Crayfish,Tetragnathidae,Spider,6.367083333,12.19548834,-26.0605,46.01827366,3.773385073,0.121954883,0.460182737
Flume 2,Crayfish,Tetragnathidae,Spider,8.404083333,11.73818187,-26.1305,46.18759311,3.93481662,0.117381819,0.461875931
Flume 2,Crayfish,Tetragnathidae,Spider,8.707083333,11.56950346,-26.2165,45.024528,3.891656039,0.115695035,0.45024528
Flume 2,Crayfish,Tetragnathidae,Spider,8.988083333,10.9041681,-26.5425,47.21238658,4.329755939,0.109041681,0.472123866
Flume 3,ALAN,Tetragnathidae,Spider,8.714083333,11.35411692,-25.8365,46.65028866,4.108667279,0.113541169,0.466502887
Flume 3,ALAN,Tetragnathidae,Spider,7.689083333,12.04548032,-26.0675,46.85119806,3.889525103,0.120454803,0.468511981
Flume 3,ALAN,Tetragnathidae,Spider,8.246083333,11.94079574,-25.7045,45.35797614,3.798572317,0.119407957,0.453579761
Flume 4,Control,Tetragnathidae,Spider,7.508083333,11.7101393,-25.9595,46.71927613,3.989643071,0.117101393,0.467192761
Flume 4,Control,Tetragnathidae,Spider,7.610083333,12.11158707,-25.6445,45.43848069,3.75165372,0.121115871,0.454384807
Flume 4,Control,Tetragnathidae,Spider,8.252083333,11.34703396,-25.8865,47.32771512,4.170932712,0.11347034,0.473277151
Flume 5,Crayfish,Tetragnathidae,Spider,8.990083333,11.05248247,-26.8835,46.61735811,4.217817873,0.110524825,0.466173581
Flume 5,Crayfish,Tetragnathidae,Spider,8.702083333,11.54762276,-25.8765,46.58266341,4.033961307,0.115476228,0.465826634
Flume 5,Crayfish,Tetragnathidae,Spider,8.575083333,11.91118924,-26.1155,45.91281791,3.854595623,0.119111892,0.459128179
Flume 6,ALAN,Tetragnathidae,Spider,7.439083333,12.09007769,-25.7775,44.383498,3.671068056,0.120900777,0.44383498
Flume 6,ALAN,Tetragnathidae,Spider,9.028083333,11.67352529,-25.7335,44.792946,3.837139586,0.116735253,0.44792946
Flume 6,ALAN,Tetragnathidae,Spider,7.476083333,12.04485608,-25.8425,45.62937562,3.788287324,0.120448561,0.456293756
Flume 7,Control,Tetragnathidae,Spider,7.262083333,12.11410134,-25.8375,45.96583075,3.794406985,0.121141013,0.459658308
Flume 7,Control,Tetragnathidae,Spider,9.240083333,11.70207745,-26.4005,45.15245731,3.858499273,0.117020774,0.451524573
Flume 7,Control,Tetragnathidae,Spider,7.673083333,11.43907381,-26.1515,46.534389,4.068020697,0.114390738,0.46534389
Flume 8,ALAN + Crayfish,Tetragnathidae,Spider,7.026083333,11.48734843,-26.7095,46.23106386,4.024520031,0.114873484,0.462310639
Flume 8,ALAN + Crayfish,Tetragnathidae,Spider,7.783083333,11.64705286,-26.6255,45.27715719,3.887434678,0.116470529,0.452771572
Flume 8,ALAN + Crayfish,Tetragnathidae,Spider,7.314083333,11.33297953,-26.9215,45.87101797,4.047569117,0.113329795,0.45871018
Flume 9,ALAN,Tetragnathidae,Spider,8.678083333,11.27517131,-26.2365,44.57508362,3.953384157,0.112751713,0.445750836
Flume 9,ALAN,Tetragnathidae,Spider,7.788083333,10.97062095,-26.7765,45.90484563,4.184343425,0.109706209,0.459048456
Flume 9,ALAN,Tetragnathidae,Spider,7.408083333,11.2088655,-26.5525,44.10302488,3.934655552,0.112088655,0.441030249
Flume 10,Control,Tetragnathidae,Spider,7.651166667,11.5285651,-25.53441667,43.23123897,3.749923656,0.115285651,0.43231239
Flume 10,Control,Tetragnathidae,Spider,8.229166667,10.78380299,-26.05441667,46.31680274,4.295034207,0.10783803,0.463168027
Flume 10,Control,Tetragnathidae,Spider,7.777166667,11.27528967,-26.09541667,44.62286553,3.95758041,0.112752897,0.446228655
Flume 11,ALAN + Crayfish,Tetragnathidae,Spider,9.487166667,11.15307662,-25.81741667,44.38035619,3.979203022,0.111530766,0.443803562
Flume 11,ALAN + Crayfish,Tetragnathidae,Spider,7.610166667,11.67886905,-25.90141667,44.85973535,3.841102693,0.11678869,0.448597354
Flume 11,ALAN + Crayfish,Tetragnathidae,Spider,8.412166667,11.66487106,-25.77541667,42.34467048,3.630101889,0.116648711,0.423446705
Flume 12,Crayfish,Tetragnathidae,Spider,8.118166667,10.4784478,-25.48141667,42.53204828,4.059002737,0.104784478,0.425320483
Flume 12,Crayfish,Tetragnathidae,Spider,8.300166667,10.8103578,-25.29341667,42.73335254,3.953000756,0.108103578,0.427333525
Flume 12,Crayfish,Tetragnathidae,Spider,8.308166667,10.60424124,-25.38841667,42.17544697,3.977224399,0.106042412,0.42175447
Flume 13,Control,Tetragnathidae,Spider,8.385166667,10.6601364,-26.62641667,46.32942296,4.346044105,0.106601364,0.46329423
Flume 13,Control,Tetragnathidae,Spider,7.976166667,11.67076593,-25.92041667,43.51839548,3.728837998,0.116707659,0.435183955
Flume 13,Control,Tetragnathidae,Spider,7.618166667,11.5076253,-25.99341667,44.93398782,3.904714191,0.115076253,0.449339878
Flume 14,ALAN + Crayfish,Tetragnathidae,Spider,7.202166667,11.70455681,-26.02841667,45.29061078,3.869485322,0.117045568,0.452906108
Flume 14,ALAN + Crayfish,Tetragnathidae,Spider,7.478166667,10.58443094,-25.67641667,41.21874031,3.894280245,0.105844309,0.412187403
Flume 14,ALAN + Crayfish,Tetragnathidae,Spider,7.698166667,11.03856588,-25.97641667,45.17446812,4.092421842,0.110385659,0.451744681
Flume 15,Crayfish,Tetragnathidae,Spider,8.058166667,11.0170886,-26.12441667,43.02411642,3.905216521,0.110170886,0.430241164
Flume 15,Crayfish,Tetragnathidae,Spider,7.821166667,11.60951387,-25.87541667,45.05607851,3.880961686,0.116095139,0.450560785
Flume 15,Crayfish,Tetragnathidae,Spider,7.993166667,11.47542494,-26.09741667,45.00568792,3.92191907,0.114754249,0.450056879
Flume 16,ALAN,Tetragnathidae,Spider,8.755166667,11.31844657,-25.66341667,45.02396932,3.977928335,0.113184466,0.450239693
Flume 16,ALAN,Tetragnathidae,Spider,7.752166667,11.56567409,-25.50441667,43.74712791,3.78249703,0.115656741,0.437471279
Flume 16,ALAN,Tetragnathidae,Spider,7.685166667,10.58062899,-26.81341667,46.60051104,4.404323325,0.10580629,0.46600511
