,name,contrast,Median,Mean,MAP,Lower95,Upper95,p_g
1,Aquatic,ALANCray_ALAN,-0.045947722,-0.049936461,-0.051281526,-0.305494519,0.178717181,0.338
2,Aquatic,ALANCray_Control,0.044681937,0.040831198,0.051933343,-0.218652219,0.278017723,0.655333333
3,Aquatic,ALANCray_Crayfish,-0.089769278,-0.089691333,-0.092937186,-0.346867949,0.161571274,0.211333333
4,Aquatic,ALAN_Control,0.091724058,0.090767659,0.096935666,-0.080448982,0.251420396,0.872666667
5,Aquatic,Crayfish_Control,0.132659601,0.130522531,0.12989274,-0.062954346,0.304338493,0.923
6,Terrestrial,ALANCray_ALAN,0.045947722,0.049936461,0.051281526,-0.178717181,0.305494519,0.662
7,Terrestrial,ALANCray_Control,-0.044681937,-0.040831198,-0.051933343,-0.278017723,0.218652219,0.344666667
8,Terrestrial,ALANCray_Crayfish,0.089769278,0.089691333,0.092937186,-0.161571274,0.346867949,0.788666667
9,Terrestrial,ALAN_Control,-0.091724058,-0.090767659,-0.096935666,-0.251420396,0.080448982,0.127333333
10,Terrestrial,Crayfish_Control,-0.132659601,-0.130522531,-0.12989274,-0.304338493,0.062954346,0.077
