"Flume","Treatment","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 1","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A1","1-5",0.7705,9.526,13.956,-25.206,44.113,3.16082296347607,0.13956,0.44113
"Flume 2","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A2","2-3",0.7796,9.668,13.325,-25.507,42.833,3.21454306511575,0.13325,0.42833
"Flume 5","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A3","5-4",1.0983,9.528,12.852,-25.343,44.446,3.45844783425937,0.12852,0.44446
"Flume 8","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A4","8-6",1.1544,9.555,14.364,-25.273,44.519,3.09937335572622,0.14364,0.44519
"Flume 12","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A5","12-3",0.8868,9.479,13.44,-25.542,44.905,3.34115810671175,0.1344,0.44905
"Flume 11","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A6","11-1",0.8329,9.934,14.117,-25.009,44.314,3.1391717975647,0.14117,0.44314
"Flume 14","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A7","14-5",0.8121,10.046,13.218,-25.112,43.084,3.25954838018512,0.13218,0.43084
"Flume 15","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A8","15-3",0.8597,9.648,13.322,-25.52,44.707,3.35585731565465,0.13322,0.44707
"Flume 1","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A9","1-2",1.0495,9.321,13.962,-25.407,43.931,3.14651947243206,0.13962,0.43931
"Flume 2","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A10","2-6",0.9838,9.69,13.594,-25.118,43.793,3.22148924840431,0.13594,0.43793
"Flume 5","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A11","5-2",1.0451,9.842,13.341,-25.366,42.998,3.22293405140724,0.13341,0.42998
"Flume 8","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A12","8-3",0.9673,9.187,13.628,-25.185,43.465,3.18938407717284,0.13628,0.43465
"Flume 11","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B1","11-2",0.7446,8.482,10.599,-25.341,43.368,4.09187302763258,0.10599,0.43368
"Flume 12","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B2","12-6",0.7326,8.999,13.57,-24.986,43.581,3.21153117468541,0.1357,0.43581
"Flume 14","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B3","14-6",0.8808,9.487,12.289,-25.142,41.722,3.39518759906074,0.12289,0.41722
"Flume 15","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B4","15-6",0.8049,9.165,13.03,-25.101,43.085,3.30664755680402,0.1303,0.43085
"Flume 1","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B5","1-1",0.8091,9.708,13.649,-25.227,43.518,3.18834615801676,0.13649,0.43518
"Flume 2","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B6","2-4",0.8105,10.021,13.514,-25.432,43.005,3.18212120008263,0.13514,0.43005
"Flume 5","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B7","5-3",0.8199,9.952,13.209,-25.154,42.711,3.23350687115291,0.13209,0.42711
"Flume 8","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B8","8-2",1.1531,9.774,13.984,-25.242,43.977,3.14491980855891,0.13984,0.43977
"Flume 11","ALAN + Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B9","11-4",0.8826,9.859,12.657,-25.499,42.006,3.31870676024249,0.12657,0.42006
