"Flume","Treatment","Type","Family","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 2","Crayfish","Prey","Gammaridae",7.246,6.167,-26.837,34.44,5.58481120264915,0.06167,0.3444
"Flume 2","Crayfish","Prey","Chironomidae",7.69,7.932,-25.917,41.84,5.27467621682644,0.07932,0.4184
"Flume 1","ALAN + Crayfish","Prey","Ephemeroptera",7.265,8.899,-28.749,45.462,5.10890640189681,0.08899,0.45462
"Flume 2","Crayfish","Prey","Chironomidae",7.509,7.65,-26.137,36.13,4.72298495246572,0.0765,0.3613
"Flume 5","Crayfish","Prey","Simuliidae",4.722,12.597,-26.536,49.555,3.9340123290036,0.12597,0.49555
"Flume 7","Control","Prey","Simuliidae",4.983,9.952,-27.008,46.559,4.67830633597134,0.09952,0.46559
"Flume 9","ALAN","Prey","Simuliidae",4.675,8.64,-26.506,38.318,4.43468268078444,0.0864,0.38318
"Flume 12","Crayfish","Prey","Simuliidae",5.016,6.1,-26.568,25.632,4.20228759052903,0.061,0.25632
"Flume 14","ALAN + Crayfish","Prey","Simuliidae",4.482,8.272,-27.933,59.827,7.23241314354853,0.08272,0.59827
"Flume 15","Crayfish","Prey","Simuliidae",4.511,11.327,-26.765,53.617,4.73364669846382,0.11327,0.53617
"Flume 16","ALAN","Prey","Simuliidae",4.544,9.906,-26.757,42.852,4.32581974359146,0.09906,0.42852
"Flume 16","ALAN","Prey","Gammaridae",7.856,6.882,-26.412,36.186,5.25797305707106,0.06882,0.36186
"Flume 16","ALAN","Prey","Gammaridae",6.986,5.917,-25.987,31.933,5.39689710279849,0.05917,0.31933
"Flume 16","ALAN","Prey","Gammaridae",7.74,6.566,-26.476,37.31,5.68200588002136,0.06566,0.3731
"Flume 16","ALAN","Prey","Chironomidae",6.705,8.772,-25.677,39.97,4.55646264280582,0.08772,0.3997
"Flume 16","ALAN","Prey","Chironomidae",6.978,9.502,-26.274,44.326,4.66463927612458,0.09502,0.44326
"Flume 16","ALAN","Prey","Chironomidae",6.936,8.536,-25.794,37.459,4.38823405068747,0.08536,0.37459
"Flume 16","ALAN","Prey","Ephemeroptera",8.296,10.512,-28.975,45.447,4.32334797732258,0.10512,0.45447
"Flume 16","ALAN","Prey","Ephemeroptera",8.715,10.278,-28.043,45.644,4.44098149159356,0.10278,0.45644
"Flume 16","ALAN","Prey","Ephemeroptera",8.148,10.879,-30.098,43.261,3.97645244395208,0.10879,0.43261
"Flume 15","Crayfish","Prey","Ephemeroptera",7.338,9.419,-28.923,39.804,4.22611844543291,0.09419,0.39804
"Flume 15","Crayfish","Prey","Ephemeroptera",6.586,10.03,-30.719,43.188,4.30570163602402,0.1003,0.43188
"Flume 15","Crayfish","Prey","Ephemeroptera",7.334,10.154,-29.527,43.447,4.27872846015988,0.10154,0.43447
"Flume 15","Crayfish","Prey","Chironomidae",7.168,8.424,-25.239,36.241,4.30221297657704,0.08424,0.36241
"Flume 15","Crayfish","Prey","Chironomidae",7.176,8.907,-26.665,42.048,4.72066661261853,0.08907,0.42048
