"Flume","Treatment","Order","Family","Species","Type","Sample_Group","d15N","d13C"
"Flume 1","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.526,-25.206
"Flume 2","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.668,-25.507
"Flume 5","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.528,-25.343
"Flume 8","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.555,-25.273
"Flume 12","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.479,-25.542
"Flume 11","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.934,-25.009
"Flume 14","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",10.046,-25.112
"Flume 15","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.648,-25.52
"Flume 1","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.321,-25.407
"Flume 2","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.69,-25.118
"Flume 5","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.842,-25.366
"Flume 8","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.187,-25.185
"Flume 11","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",8.482,-25.341
"Flume 12","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",8.999,-24.986
"Flume 14","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.487,-25.142
"Flume 15","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.165,-25.101
"Flume 1","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.708,-25.227
"Flume 2","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",10.021,-25.432
"Flume 5","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.952,-25.154
"Flume 8","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.774,-25.242
"Flume 11","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.859,-25.499
"Flume 12","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.144,-25.823
"Flume 14","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.654,-25.308
"Flume 15","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.353,-25.182
"Flume 1","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",10.372,-25.661
"Flume 2","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.593,-25.766
"Flume 5","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.98,-24.984
"Flume 8","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.815,-26.039
"Flume 11","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.508,-24.753
"Flume 12","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.859,-25.294
"Flume 14","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.659,-25.26
"Flume 15","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.472,-24.883
"Flume 1","ALAN + Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.782,-25.606
"Flume 2","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.468,-25.076
"Flume 5","Crayfish","Decapoda","Astacidae","Pacifastacus liniusculus","Crayfish","Crayfish",9.021,-24.965
