"Flume","Treatment","Order","Family","Type","Sample_Group","d15N","d13C"
"Flume 2","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.246,-26.837
"Flume 2","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.69,-25.917
"Flume 1","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.265,-28.749
"Flume 2","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.509,-26.137
"Flume 16","ALAN","Amphipoda","Gammaridae","Prey","Benthic",7.856,-26.412
"Flume 16","ALAN","Amphipoda","Gammaridae","Prey","Benthic",6.986,-25.987
"Flume 16","ALAN","Amphipoda","Gammaridae","Prey","Benthic",7.74,-26.476
"Flume 16","ALAN","Diptera","Chironomidae","Prey","Benthic",6.705,-25.677
"Flume 16","ALAN","Diptera","Chironomidae","Prey","Benthic",6.978,-26.274
"Flume 16","ALAN","Diptera","Chironomidae","Prey","Benthic",6.936,-25.794
"Flume 16","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.296,-28.975
"Flume 16","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.715,-28.043
"Flume 16","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.148,-30.098
"Flume 15","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.338,-28.923
"Flume 15","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",6.586,-30.719
"Flume 15","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.334,-29.527
"Flume 15","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.168,-25.239
"Flume 15","Crayfish","Diptera","Chironomidae","Prey","Benthic",7.176,-26.665
"Flume 15","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.429,-26.768
"Flume 15","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",6.812,-26.003
"Flume 15","Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.609,-25.61
"Flume 14","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.582,-28.779
"Flume 14","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.197,-28.751
"Flume 14","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.406,-28.949
"Flume 14","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",7.142,-26.202
"Flume 14","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic",5.821,-26.588
"Flume 14","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",8.601,-26.632
"Flume 14","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",7.277,-26.257
"Flume 14","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic",8.929,-26.454
"Flume 13","Control","Amphipoda","Gammaridae","Prey","Benthic",7.754,-26.507
"Flume 13","Control","Amphipoda","Gammaridae","Prey","Benthic",7.747,-26.046
"Flume 13","Control","Amphipoda","Gammaridae","Prey","Benthic",8.175,-26.834
"Flume 13","Control","Diptera","Chironomidae","Prey","Benthic",7.908,-26.407
"Flume 13","Control","Diptera","Chironomidae","Prey","Benthic",6.94,-26.044
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",7.047,-27.894
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.246,-29.453
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.002,-28.485
"Flume 13","Control","Ephemeroptera","Ephemeroptera","Prey","Benthic",8.788,-29.32
