"Flume","Treatment","Type","Family","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 1","ALAN + Crayfish","Prey","Tanypodinae",8.43916666666667,11.4144075933072,-26.0214166666667,44.5693082510116,3.90465364817924,0.114144075933072,0.445693082510116
"Flume 1","ALAN + Crayfish","Prey","Tanypodinae",8.41016666666667,11.4980904978499,-25.9614166666667,44.6136299068407,3.88009034327773,0.114980904978499,0.446136299068407
"Flume 1","ALAN + Crayfish","Prey","Tanypodinae",8.53216666666667,11.6046094850731,-25.9174166666667,44.8649533108003,3.86613210625567,0.116046094850731,0.448649533108003
"Flume 2","Crayfish","Prey","Tanypodinae",8.75916666666667,11.1228495950665,-25.3594166666667,45.0613721192724,4.05124349962073,0.111228495950665,0.450613721192724
"Flume 2","Crayfish","Prey","Tanypodinae",8.69416666666667,11.0621848037331,-25.3644166666667,44.9879932642306,4.0668271288551,0.110621848037331,0.449879932642306
"Flume 2","Crayfish","Prey","Tanypodinae",8.74416666666667,11.0783383455949,-25.3304166666667,44.4737716270452,4.01448035252772,0.110783383455949,0.444737716270452
"Flume 3","ALAN","Prey","Tanypodinae",8.43516666666667,11.4952304047941,-25.6544166666667,45.307537483628,3.9414205621083,0.114952304047941,0.45307537483628
"Flume 3","ALAN","Prey","Tanypodinae",8.47516666666667,11.545487554727,-25.6144166666667,45.1397576181966,3.9097316076284,0.11545487554727,0.451397576181966
"Flume 3","ALAN","Prey","Tanypodinae",9.09916666666667,11.41496093518,-25.5734166666667,45.3247623157597,3.97064541640893,0.1141496093518,0.453247623157597
"Flume 4","Control","Prey","Tanypodinae",8.62416666666667,2.68122249189375,-25.7694166666667,12.0316324008898,4.48736814541335,0.0268122249189375,0.120316324008898
"Flume 4","Control","Prey","Tanypodinae",8.81116666666667,10.298645618692,-25.6214166666667,45.0378551877327,4.37318234409282,0.10298645618692,0.450378551877327
"Flume 4","Control","Prey","Tanypodinae",8.81516666666667,10.2726085828152,-25.6354166666667,44.9063241581685,4.37146259357054,0.102726085828152,0.449063241581685
"Flume 5","Crayfish","Prey","Tanypodinae",8.58816666666667,9.71881516208382,-24.9914166666667,41.5306179240607,4.27321820936412,0.0971881516208382,0.415306179240607
"Flume 5","Crayfish","Prey","Tanypodinae",8.58816666666667,10.5214011039257,-24.9694166666667,45.0631453622954,4.28299852055651,0.105214011039257,0.450631453622954
"Flume 5","Crayfish","Prey","Tanypodinae",8.69816666666667,10.7067202660171,-24.8834166666667,44.4039850943423,4.14730038621442,0.107067202660171,0.444039850943423
"Flume 6","ALAN","Prey","Tanypodinae",8.46016666666667,10.6512802245445,-25.8724166666667,44.9890271056996,4.22381405401653,0.106512802245445,0.449890271056996
"Flume 6","ALAN","Prey","Tanypodinae",8.50916666666667,10.7072933286695,-25.9174166666667,44.7675514798929,4.18103344194605,0.107072933286695,0.447675514798929
"Flume 6","ALAN","Prey","Tanypodinae",8.67916666666667,9.69289867430554,-25.5144166666667,38.5086372565012,3.97287112456689,0.0969289867430554,0.385086372565012
"Flume 7","Control","Prey","Tanypodinae",8.37816666666667,11.4499026763815,-24.6704166666667,45.1215617752771,3.94078124946446,0.114499026763815,0.451215617752771
"Flume 7","Control","Prey","Tanypodinae",8.39216666666667,11.5736900095333,-24.6844166666667,45.220244011949,3.90715873456961,0.115736900095333,0.45220244011949
"Flume 7","Control","Prey","Tanypodinae",8.40716666666667,11.5550353121374,-24.7934166666667,45.2400854943137,3.91518366428473,0.115550353121374,0.452400854943137
"Flume 8","ALAN + Crayfish","Prey","Tanypodinae",7.71816666666667,11.4453854578217,-26.0854166666667,45.0532320015331,3.93636650924184,0.114453854578217,0.450532320015331
"Flume 8","ALAN + Crayfish","Prey","Tanypodinae",7.72916666666667,11.2934585056809,-26.0714166666667,44.9660256382325,3.9815992253935,0.112934585056809,0.449660256382325
"Flume 8","ALAN + Crayfish","Prey","Tanypodinae",7.65016666666667,10.8184538527,-25.9964166666667,44.3280648499297,4.09744917836542,0.108184538527,0.443280648499297
"Flume 9","ALAN","Prey","Tanypodinae",9.13316666666667,10.6041636087529,-25.8004166666667,44.2504578882078,4.17293239908924,0.106041636087529,0.442504578882078
"Flume 9","ALAN","Prey","Tanypodinae",9.09716666666667,10.6655221075076,-25.7074166666667,44.8754553571709,4.20752541739916,0.106655221075076,0.448754553571709
"Flume 9","ALAN","Prey","Tanypodinae",9.17516666666667,10.5443807422808,-25.7254166666667,43.8416439925575,4.15782065007967,0.105443807422808,0.438416439925575
"Flume 10","Control","Prey","Tanypodinae",8.35516666666667,11.0163710161072,-24.2034166666667,44.2028794278188,4.01247192593541,0.110163710161072,0.442028794278188
"Flume 10","Control","Prey","Tanypodinae",8.32416666666667,11.0535726233049,-24.2194166666667,44.4588780365352,4.02212746517808,0.110535726233049,0.444588780365352
"Flume 10","Control","Prey","Tanypodinae",8.43021428571429,11.1905659582245,-24.3219285714286,44.629792936326,3.98816227015985,0.111905659582245,0.44629792936326
"Flume 11","ALAN + Crayfish","Prey","Tanypodinae",8.65521428571429,11.3986081459752,-25.0999285714286,45.1976912294449,3.96519387723701,0.113986081459752,0.451976912294449
"Flume 11","ALAN + Crayfish","Prey","Tanypodinae",8.52721428571428,11.1425367879556,-25.0929285714286,45.1098156317873,4.04843317910767,0.111425367879556,0.451098156317873
"Flume 11","ALAN + Crayfish","Prey","Tanypodinae",8.50121428571429,10.9217522148165,-25.0919285714286,45.3954249830093,4.15642326342338,0.109217522148165,0.453954249830093
"Flume 12","Crayfish","Prey","Tanypodinae",8.39721428571429,10.6427286062406,-24.9439285714286,45.2338979332193,4.25021623746898,0.106427286062406,0.452338979332193
"Flume 12","Crayfish","Prey","Tanypodinae",8.35721428571429,10.8391479122141,-25.0179285714286,45.0652633312064,4.1576389303097,0.108391479122141,0.450652633312064
"Flume 12","Crayfish","Prey","Tanypodinae",8.30521428571429,11.3282011331932,-25.1009285714286,45.3192848036415,4.0005720476528,0.113282011331932,0.453192848036415
"Flume 13","Control","Prey","Tanypodinae",8.85621428571429,10.715821592963,-25.5479285714286,45.8383831415273,4.27763589976422,0.10715821592963,0.458383831415273
"Flume 13","Control","Prey","Tanypodinae",8.83921428571429,10.6561180984934,-25.5339285714286,45.3169209016315,4.25266691704916,0.106561180984934,0.453169209016315
"Flume 13","Control","Prey","Tanypodinae",8.81121428571429,11.0371208764417,-25.4839285714286,46.790475979558,4.23937333869655,0.110371208764417,0.46790475979558
"Flume 14","ALAN + Crayfish","Prey","Tanypodinae",8.39321428571429,11.4507042766054,-25.6019285714286,45.2846808985362,3.95475071267503,0.114507042766054,0.452846808985362
"Flume 14","ALAN + Crayfish","Prey","Tanypodinae",8.41121428571429,11.538755943623,-25.5629285714286,45.2320691075649,3.9200126364197,0.11538755943623,0.452320691075649
"Flume 14","ALAN + Crayfish","Prey","Tanypodinae",8.41821428571428,11.4960449493432,-25.5999285714286,44.9121369996425,3.90674681575671,0.114960449493432,0.449121369996425
"Flume 15","Crayfish","Prey","Tanypodinae",8.62721428571429,11.1780944705801,-25.6049285714286,45.3235872880655,4.05467921275436,0.111780944705801,0.453235872880655
"Flume 15","Crayfish","Prey","Tanypodinae",8.63021428571429,11.1845555419238,-25.6269285714286,45.2212088268758,4.04318335738691,0.111845555419238,0.452212088268758
"Flume 15","Crayfish","Prey","Tanypodinae",8.60821428571429,11.1705981447266,-25.6009285714286,44.8443608881036,4.01449951981968,0.111705981447266,0.448443608881036
"Flume 16","ALAN","Prey","Tanypodinae",8.45521428571429,10.8770248716538,-25.0819285714286,44.6303859533626,4.10317954403802,0.108770248716538,0.446303859533626
"Flume 16","ALAN","Prey","Tanypodinae",8.30521428571429,10.8999725603348,-25.3359285714286,45.2461008628087,4.15102887758268,0.108999725603348,0.452461008628087
"Flume 16","ALAN","Prey","Tanypodinae",8.44121428571429,11.1222244072808,-25.4379285714286,45.0832764667314,4.05344064423112,0.111222244072808,0.450832764667314
"Flume 1","ALAN + Crayfish","Prey","Chironomidae",8.16921428571429,10.4808871503136,-26.5809285714286,44.9104695523948,4.28498741645654,0.104808871503136,0.449104695523948
"Flume 1","ALAN + Crayfish","Prey","Chironomidae",8.07221428571428,10.4455688205506,-26.5189285714286,44.9758643602763,4.30573625361509,0.104455688205506,0.449758643602763
"Flume 1","ALAN + Crayfish","Prey","Chironomidae",8.13821428571429,10.5435501371194,-26.6009285714286,44.9617065160003,4.26438020697687,0.105435501371194,0.449617065160003
"Flume 2","Crayfish","Prey","Chironomidae",7.95921428571429,10.8186895515296,-26.2259285714286,44.6603552845034,4.12807439124537,0.108186895515296,0.446603552845034
"Flume 2","Crayfish","Prey","Chironomidae",7.93721428571429,10.82489544904,-26.1769285714286,44.7883192226952,4.13752903513421,0.1082489544904,0.447883192226952
"Flume 2","Crayfish","Prey","Chironomidae",7.94021428571429,10.7339581532417,-26.1589285714286,44.6020423638451,4.15522789702465,0.107339581532417,0.446020423638451
"Flume 3","ALAN","Prey","Chironomidae",7.84721428571429,10.803741547964,-26.0989285714286,45.0845099421674,4.1730459528314,0.10803741547964,0.450845099421674
"Flume 3","ALAN","Prey","Chironomidae",7.86821428571429,10.6823774174593,-26.0869285714286,44.5200157612701,4.16761307164699,0.106823774174593,0.445200157612701
"Flume 3","ALAN","Prey","Chironomidae",7.89121428571429,10.8100713925969,-26.1279285714286,45.0037274115624,4.16312952774601,0.108100713925969,0.450037274115624
"Flume 4","Control","Prey","Chironomidae",7.49021428571429,11.6670781957567,-26.3139285714286,44.8830775121812,3.84698523135852,0.116670781957567,0.448830775121812
"Flume 4","Control","Prey","Chironomidae",7.37921428571429,11.6031135215113,-26.3469285714286,44.5918254580326,3.84309137158424,0.116031135215113,0.445918254580326
"Flume 4","Control","Prey","Chironomidae",7.37521428571429,11.5585811742524,-26.2959285714286,44.676030183018,3.8651828896212,0.115585811742524,0.44676030183018
"Flume 5","Crayfish","Prey","Chironomidae",7.66221428571429,11.7244164064135,-25.6719285714286,45.0413630919631,3.84167207395709,0.117244164064135,0.450413630919631
"Flume 5","Crayfish","Prey","Chironomidae",7.60921428571429,11.7273728898532,-25.7219285714286,44.9726713037902,3.83484619498215,0.117273728898532,0.449726713037902
"Flume 5","Crayfish","Prey","Chironomidae",7.76221428571429,11.6596038057292,-25.6119285714286,44.5817899571038,3.82361105059141,0.116596038057292,0.445817899571038
"Flume 6","ALAN","Prey","Chironomidae",8.14721428571429,10.7175651999397,-26.0169285714286,43.6668817176623,4.07432853479705,0.107175651999397,0.436668817176623
"Flume 6","ALAN","Prey","Chironomidae",8.17521428571429,11.0298284761203,-25.9379285714286,44.8179805738407,4.06334338479262,0.110298284761203,0.448179805738407
"Flume 6","ALAN","Prey","Chironomidae",8.16721428571429,10.8074354051624,-26.0459285714286,44.7763545692954,4.14310637914219,0.108074354051624,0.447763545692954
"Flume 7","Control","Prey","Chironomidae",7.87221428571429,11.2673321281147,-24.8759285714286,44.8127720371575,3.97723006010791,0.112673321281147,0.448127720371575
"Flume 7","Control","Prey","Chironomidae",7.70321428571429,11.1575889381638,-24.9959285714286,44.9754870653388,4.03093242765945,0.111575889381638,0.449754870653388
"Flume 7","Control","Prey","Chironomidae",7.80421428571429,11.3304907092884,-24.8129285714286,44.9241675654277,3.96489161132275,0.113304907092884,0.449241675654277
"Flume 8","ALAN + Crayfish","Prey","Chironomidae",6.62821428571429,11.4111934863798,-26.9499285714286,44.7589800450677,3.92237499946797,0.114111934863798,0.447589800450677
"Flume 8","ALAN + Crayfish","Prey","Chironomidae",6.63721428571429,11.4553149736781,-26.9279285714286,44.4639326818851,3.8815111399428,0.114553149736781,0.444639326818851
"Flume 8","ALAN + Crayfish","Prey","Chironomidae",6.63721428571429,11.4028987352875,-26.8809285714286,44.3893000295969,3.8928084042551,0.114028987352875,0.443893000295969
"Flume 9","ALAN","Prey","Chironomidae",7.43821428571429,11.4404238479619,-26.6859285714286,45.3299661098447,3.96226282454737,0.114404238479619,0.453299661098447
"Flume 9","ALAN","Prey","Chironomidae",7.38021428571429,11.5326737991128,-26.5839285714286,45.281244705065,3.92634401126897,0.115326737991128,0.45281244705065
"Flume 9","ALAN","Prey","Chironomidae",7.43421428571429,11.2561518453029,-26.6459285714286,45.0491516416189,4.00218051966114,0.112561518453029,0.450491516416189
"Flume 10","Control","Prey","Chironomidae",7.50721428571429,10.5756244882376,-25.3269285714286,44.2302584989173,4.18228337703472,0.105756244882376,0.442302584989173
"Flume 10","Control","Prey","Chironomidae",7.56721428571429,10.6319471478034,-25.3249285714286,44.7272388567944,4.20687182084376,0.106319471478034,0.447272388567944
"Flume 10","Control","Prey","Chironomidae",7.66021428571429,10.600025959222,-25.2769285714286,44.5093252195557,4.19898266200309,0.10600025959222,0.445093252195557
"Flume 11","ALAN + Crayfish","Prey","Chironomidae",7.50321428571429,11.4975645391243,-25.4549285714286,44.6145079708169,3.8803442084627,0.114975645391243,0.446145079708169
"Flume 11","ALAN + Crayfish","Prey","Chironomidae",7.60321428571429,10.8210186315237,-25.3359285714286,44.300939616208,4.09397129094214,0.108210186315237,0.44300939616208
"Flume 11","ALAN + Crayfish","Prey","Chironomidae",7.54621428571429,11.1906737931917,-25.4409285714286,44.2765337570291,3.95655655551024,0.111906737931917,0.442765337570291
