"Flume","Treatment","Type","Order","Family","d15N","d13C"
"Flume 1","ALAN + Crayfish","Prey","Diptera","Tanypodinae",8.43916666666667,-26.0214166666667
"Flume 1","ALAN + Crayfish","Prey","Diptera","Tanypodinae",8.41016666666667,-25.9614166666667
"Flume 1","ALAN + Crayfish","Prey","Diptera","Tanypodinae",8.53216666666667,-25.9174166666667
"Flume 2","Crayfish","Prey","Diptera","Tanypodinae",8.75916666666667,-25.3594166666667
"Flume 2","Crayfish","Prey","Diptera","Tanypodinae",8.69416666666667,-25.3644166666667
"Flume 2","Crayfish","Prey","Diptera","Tanypodinae",8.74416666666667,-25.3304166666667
"Flume 3","ALAN","Prey","Diptera","Tanypodinae",8.43516666666667,-25.6544166666667
"Flume 3","ALAN","Prey","Diptera","Tanypodinae",8.47516666666667,-25.6144166666667
"Flume 3","ALAN","Prey","Diptera","Tanypodinae",9.09916666666667,-25.5734166666667
"Flume 4","Control","Prey","Diptera","Tanypodinae",8.62416666666667,-25.7694166666667
"Flume 4","Control","Prey","Diptera","Tanypodinae",8.81116666666667,-25.6214166666667
"Flume 4","Control","Prey","Diptera","Tanypodinae",8.81516666666667,-25.6354166666667
"Flume 5","Crayfish","Prey","Diptera","Tanypodinae",8.58816666666667,-24.9914166666667
"Flume 5","Crayfish","Prey","Diptera","Tanypodinae",8.58816666666667,-24.9694166666667
"Flume 5","Crayfish","Prey","Diptera","Tanypodinae",8.69816666666667,-24.8834166666667
"Flume 6","ALAN","Prey","Diptera","Tanypodinae",8.46016666666667,-25.8724166666667
"Flume 6","ALAN","Prey","Diptera","Tanypodinae",8.50916666666667,-25.9174166666667
"Flume 6","ALAN","Prey","Diptera","Tanypodinae",8.67916666666667,-25.5144166666667
"Flume 7","Control","Prey","Diptera","Tanypodinae",8.37816666666667,-24.6704166666667
"Flume 7","Control","Prey","Diptera","Tanypodinae",8.39216666666667,-24.6844166666667
"Flume 7","Control","Prey","Diptera","Tanypodinae",8.40716666666667,-24.7934166666667
"Flume 8","ALAN + Crayfish","Prey","Diptera","Tanypodinae",7.71816666666667,-26.0854166666667
"Flume 8","ALAN + Crayfish","Prey","Diptera","Tanypodinae",7.72916666666667,-26.0714166666667
"Flume 8","ALAN + Crayfish","Prey","Diptera","Tanypodinae",7.65016666666667,-25.9964166666667
"Flume 9","ALAN","Prey","Diptera","Tanypodinae",9.13316666666667,-25.8004166666667
"Flume 9","ALAN","Prey","Diptera","Tanypodinae",9.09716666666667,-25.7074166666667
"Flume 9","ALAN","Prey","Diptera","Tanypodinae",9.17516666666667,-25.7254166666667
"Flume 10","Control","Prey","Diptera","Tanypodinae",8.35516666666667,-24.2034166666667
"Flume 10","Control","Prey","Diptera","Tanypodinae",8.32416666666667,-24.2194166666667
"Flume 10","Control","Prey","Diptera","Tanypodinae",8.43021428571429,-24.3219285714286
"Flume 11","ALAN + Crayfish","Prey","Diptera","Tanypodinae",8.65521428571429,-25.0999285714286
"Flume 11","ALAN + Crayfish","Prey","Diptera","Tanypodinae",8.52721428571428,-25.0929285714286
"Flume 11","ALAN + Crayfish","Prey","Diptera","Tanypodinae",8.50121428571429,-25.0919285714286
"Flume 12","Crayfish","Prey","Diptera","Tanypodinae",8.39721428571429,-24.9439285714286
"Flume 12","Crayfish","Prey","Diptera","Tanypodinae",8.35721428571429,-25.0179285714286
"Flume 12","Crayfish","Prey","Diptera","Tanypodinae",8.30521428571429,-25.1009285714286
"Flume 13","Control","Prey","Diptera","Tanypodinae",8.85621428571429,-25.5479285714286
"Flume 13","Control","Prey","Diptera","Tanypodinae",8.83921428571429,-25.5339285714286
"Flume 13","Control","Prey","Diptera","Tanypodinae",8.81121428571429,-25.4839285714286
"Flume 14","ALAN + Crayfish","Prey","Diptera","Tanypodinae",8.39321428571429,-25.6019285714286
"Flume 14","ALAN + Crayfish","Prey","Diptera","Tanypodinae",8.41121428571429,-25.5629285714286
"Flume 14","ALAN + Crayfish","Prey","Diptera","Tanypodinae",8.41821428571428,-25.5999285714286
"Flume 15","Crayfish","Prey","Diptera","Tanypodinae",8.62721428571429,-25.6049285714286
"Flume 15","Crayfish","Prey","Diptera","Tanypodinae",8.63021428571429,-25.6269285714286
"Flume 15","Crayfish","Prey","Diptera","Tanypodinae",8.60821428571429,-25.6009285714286
"Flume 16","ALAN","Prey","Diptera","Tanypodinae",8.45521428571429,-25.0819285714286
"Flume 16","ALAN","Prey","Diptera","Tanypodinae",8.30521428571429,-25.3359285714286
"Flume 16","ALAN","Prey","Diptera","Tanypodinae",8.44121428571429,-25.4379285714286
"Flume 1","ALAN + Crayfish","Prey","Diptera","Chironomidae",8.16921428571429,-26.5809285714286
"Flume 1","ALAN + Crayfish","Prey","Diptera","Chironomidae",8.07221428571428,-26.5189285714286
"Flume 1","ALAN + Crayfish","Prey","Diptera","Chironomidae",8.13821428571429,-26.6009285714286
"Flume 2","Crayfish","Prey","Diptera","Chironomidae",7.95921428571429,-26.2259285714286
"Flume 2","Crayfish","Prey","Diptera","Chironomidae",7.93721428571429,-26.1769285714286
"Flume 2","Crayfish","Prey","Diptera","Chironomidae",7.94021428571429,-26.1589285714286
"Flume 3","ALAN","Prey","Diptera","Chironomidae",7.84721428571429,-26.0989285714286
"Flume 3","ALAN","Prey","Diptera","Chironomidae",7.86821428571429,-26.0869285714286
"Flume 3","ALAN","Prey","Diptera","Chironomidae",7.89121428571429,-26.1279285714286
"Flume 4","Control","Prey","Diptera","Chironomidae",7.49021428571429,-26.3139285714286
"Flume 4","Control","Prey","Diptera","Chironomidae",7.37921428571429,-26.3469285714286
"Flume 4","Control","Prey","Diptera","Chironomidae",7.37521428571429,-26.2959285714286
"Flume 5","Crayfish","Prey","Diptera","Chironomidae",7.66221428571429,-25.6719285714286
"Flume 5","Crayfish","Prey","Diptera","Chironomidae",7.60921428571429,-25.7219285714286
"Flume 5","Crayfish","Prey","Diptera","Chironomidae",7.76221428571429,-25.6119285714286
"Flume 6","ALAN","Prey","Diptera","Chironomidae",8.14721428571429,-26.0169285714286
"Flume 6","ALAN","Prey","Diptera","Chironomidae",8.17521428571429,-25.9379285714286
"Flume 6","ALAN","Prey","Diptera","Chironomidae",8.16721428571429,-26.0459285714286
"Flume 7","Control","Prey","Diptera","Chironomidae",7.87221428571429,-24.8759285714286
"Flume 7","Control","Prey","Diptera","Chironomidae",7.70321428571429,-24.9959285714286
"Flume 7","Control","Prey","Diptera","Chironomidae",7.80421428571429,-24.8129285714286
"Flume 8","ALAN + Crayfish","Prey","Diptera","Chironomidae",6.62821428571429,-26.9499285714286
"Flume 8","ALAN + Crayfish","Prey","Diptera","Chironomidae",6.63721428571429,-26.9279285714286
"Flume 8","ALAN + Crayfish","Prey","Diptera","Chironomidae",6.63721428571429,-26.8809285714286
"Flume 9","ALAN","Prey","Diptera","Chironomidae",7.43821428571429,-26.6859285714286
"Flume 9","ALAN","Prey","Diptera","Chironomidae",7.38021428571429,-26.5839285714286
"Flume 9","ALAN","Prey","Diptera","Chironomidae",7.43421428571429,-26.6459285714286
"Flume 10","Control","Prey","Diptera","Chironomidae",7.50721428571429,-25.3269285714286
"Flume 10","Control","Prey","Diptera","Chironomidae",7.56721428571429,-25.3249285714286
