"","Flume","Treatment","ALAN","Crayfish","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C","cp_cm","cp_mm","sex","scd_cp"
"1","Flume 2","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A2","2-3",0.7796,9.668,13.325,-25.507,42.833,3.21454306511575,0.13325,0.42833,5,50,"female",1.08310802932805
"2","Flume 5","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A3","5-4",1.0983,9.528,12.852,-25.343,44.446,3.45844783425937,0.12852,0.44446,4.5,45,"male",-0.0722072019552032
"3","Flume 12","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A5","12-3",0.8868,9.479,13.44,-25.542,44.905,3.34115810671175,0.1344,0.44905,4.5,45,"female",-0.0722072019552032
"4","Flume 15","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A8","15-3",0.8597,9.648,13.322,-25.52,44.707,3.35585731565465,0.13322,0.44707,4.4,44,"female",-0.303270248211853
"5","Flume 2","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A10","2-6",0.9838,9.69,13.594,-25.118,43.793,3.22148924840431,0.13594,0.43793,3.8,38,"male",-1.68964852575176
"6","Flume 5","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","A11","5-2",1.0451,9.842,13.341,-25.366,42.998,3.22293405140724,0.13341,0.42998,4.1,41,"female",-0.996459386981804
"7","Flume 12","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B2","12-6",0.7326,8.999,13.57,-24.986,43.581,3.21153117468541,0.1357,0.43581,4.7,47,"male",0.389918890558097
"8","Flume 15","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B4","15-6",0.8049,9.165,13.03,-25.101,43.085,3.30664755680402,0.1303,0.43085,4.9,49,"male",0.852044983071398
"9","Flume 2","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B6","2-4",0.8105,10.021,13.514,-25.432,43.005,3.18212120008263,0.13514,0.43005,4.9,49,"male",0.852044983071398
"10","Flume 5","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B7","5-3",0.8199,9.952,13.209,-25.154,42.711,3.23350687115291,0.13209,0.42711,4.8,48,"female",0.620981936814748
"11","Flume 12","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B10","12-4",1.073,9.144,13.124,-25.823,43.326,3.3013167147022,0.13124,0.43326,5.2,52,"male",1.54523412184135
"12","Flume 15","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","B12","15-2",0.9547,9.353,13.517,-25.182,43.15,3.19225416243626,0.13517,0.4315,3.9,39,"male",-1.4585854794951
"13","Flume 2","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C2","2-2",0.9673,9.593,13.479,-25.766,43.088,3.19678376336829,0.13479,0.43088,5,50,"female",1.08310802932805
"14","Flume 5","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C3","5-6",0.8428,9.98,13.713,-24.984,44.549,3.24866917562033,0.13713,0.44549,4.5,45,"male",-0.0722072019552032
"15","Flume 12","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C6","12-1",0.9224,9.859,13.531,-25.294,43.982,3.25041279352693,0.13531,0.43982,4,40,"female",-1.22752243323845
"16","Flume 15","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C8","15-4",0.8505,9.472,13.446,-24.883,44.105,3.28026780608694,0.13446,0.44105,4.5,45,"female",-0.0722072019552032
"17","Flume 2","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C10","2-1",1.0858,9.468,13.181,-25.076,42.644,3.23529409462145,0.13181,0.42644,4,40,"male",-1.22752243323845
"18","Flume 5","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","C11","5-5",0.94,9.021,13.241,-24.965,43.391,3.27708543625951,0.13241,0.43391,4.8,48,"male",0.620981936814748
"19","Flume 12","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D2","12-5",0.8325,9.706,13.28,-25.016,44.123,3.32250855546957,0.1328,0.44123,4.6,46,"male",0.158855844301447
"20","Flume 15","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D4","15-1",0.944,9.049,13.66,-25.277,43.477,3.18284092126821,0.1366,0.43477,4.5,45,"female",-0.0722072019552032
"21","Flume 2","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D6","2-5",1.0069,9.566,12.774,-25.565,43.113,3.37505776175976,0.12774,0.43113,4.8,48,"male",0.620981936814748
"22","Flume 5","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D7","5-1",1.0995,9.534,13.932,-25.154,43.844,3.14695193794354,0.13932,0.43844,5,50,"female",1.08310802932805
"23","Flume 12","Crayfish","No ALAN","Crayfish","Decapoda","Astacidae","Crayfish","Crayfish","IRMS_RSM_1","D10","12-2",0.7369,9.903,13.505,-25.313,44.35,3.2839328479441,0.13505,0.4435,4.5,45,"female",-0.0722072019552032
