"","Flume","Treatment","ALAN","Crayfish","Type","Family","Species","d15N","d13C"
"1","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.681083333,-26.4615
"2","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.295083333,-25.9205
"3","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",6.367083333,-26.0605
"4","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.026083333,-26.7095
"5","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.783083333,-26.6255
"6","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.314083333,-26.9215
"7","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",9.487166667,-25.81741667
"8","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.610166667,-25.90141667
"9","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.412166667,-25.77541667
"10","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.202166667,-26.02841667
"11","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.478166667,-25.67641667
"12","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.698166667,-25.97641667
