"","Flume","Treatment","ALAN","Crayfish","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Gammaridae","Flume 2","Crayfish","No ALAN","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","E1","F2G1",1.128,7.246,6.167,-26.837,34.44,5.58481120264915,0.06167,0.3444
"Chironomidae","Flume 2","Crayfish","No ALAN","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","E2","F2CH1",1.1825,7.69,7.932,-25.917,41.84,5.27467621682644,0.07932,0.4184
"Chironomidae","Flume 2","Crayfish","No ALAN","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","E4","F2CH3",0.6433,7.509,7.65,-26.137,36.13,4.72298495246572,0.0765,0.3613
"Ephemeroptera","Flume 15","Crayfish","No ALAN","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","F9","F15EPH3",0.2547,7.338,9.419,-28.923,39.804,4.22611844543291,0.09419,0.39804
"Ephemeroptera","Flume 15","Crayfish","No ALAN","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","F10","F15EPH2",1.1816,6.586,10.03,-30.719,43.188,4.30570163602402,0.1003,0.43188
"Ephemeroptera","Flume 15","Crayfish","No ALAN","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","F11","F15EPH1",1.0422,7.334,10.154,-29.527,43.447,4.27872846015988,0.10154,0.43447
"Chironomidae","Flume 15","Crayfish","No ALAN","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","F12","F15CH2",0.2734,7.168,8.424,-25.239,36.241,4.30221297657704,0.08424,0.36241
"Chironomidae","Flume 15","Crayfish","No ALAN","Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_1","G1","F15CH1",0.1166,7.176,8.907,-26.665,42.048,4.72066661261853,0.08907,0.42048
"Gammaridae","Flume 15","Crayfish","No ALAN","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","G2","F15G3",1.0673,7.429,6.992,-26.768,36.659,5.24337278545699,0.06992,0.36659
"Gammaridae","Flume 15","Crayfish","No ALAN","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","G3","F15G2",1.0199,6.812,6.293,-26.003,33.314,5.2937080004833,0.06293,0.33314
"Gammaridae","Flume 15","Crayfish","No ALAN","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_1","G4","F15G1",0.777,7.609,6.563,-25.61,30.347,4.6237429454528,0.06563,0.30347
"Ephemeroptera","Flume 12","Crayfish","No ALAN","Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_1","H10","F12EPH2",0.7458,8.711,10.58,-30.175,45.406,4.29152151491887,0.1058,0.45406
