"","Flume","Treatment","ALAN","Crayfish","Type","Order","Family","d15N","d13C"
"Tanypodinae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",8.43916666666667,-26.0214166666667
"Tanypodinae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",8.41016666666667,-25.9614166666667
"Tanypodinae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",8.53216666666667,-25.9174166666667
"Tanypodinae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",7.71816666666667,-26.0854166666667
"Tanypodinae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",7.72916666666667,-26.0714166666667
"Tanypodinae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",7.65016666666667,-25.9964166666667
"Tanypodinae","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",8.65521428571429,-25.0999285714286
"Tanypodinae","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",8.52721428571428,-25.0929285714286
"Tanypodinae","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",8.50121428571429,-25.0919285714286
"Tanypodinae","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",8.39321428571429,-25.6019285714286
"Tanypodinae","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",8.41121428571429,-25.5629285714286
"Tanypodinae","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Tanypodinae",8.41821428571428,-25.5999285714286
"Chironomidae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",8.16921428571429,-26.5809285714286
"Chironomidae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",8.07221428571428,-26.5189285714286
"Chironomidae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",8.13821428571429,-26.6009285714286
"Chironomidae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",6.62821428571429,-26.9499285714286
"Chironomidae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",6.63721428571429,-26.9279285714286
"Chironomidae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",6.63721428571429,-26.8809285714286
"Chironomidae","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",7.50321428571429,-25.4549285714286
"Chironomidae","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",7.60321428571429,-25.3359285714286
"Chironomidae","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",7.54621428571429,-25.4409285714286
"Chironomidae","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",7.18921428571429,-26.1259285714286
"Chironomidae","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",7.14621428571429,-26.1579285714286
"Chironomidae","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Prey","Diptera","Chironomidae",7.3442,-26.1757333333333
"Cicadellidae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",2.8372,-28.8297333333333
"Cicadellidae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",2.9972,-28.8247333333333
"Cicadellidae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",2.9072,-28.6567333333333
"Cicadellidae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",-0.179799999999999,-26.5527333333333
"Cicadellidae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",0.0112000000000006,-26.5937333333333
"Cicadellidae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",0.0222000000000006,-26.5657333333333
"Cicadellidae","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",1.8132,-26.8257333333333
"Cicadellidae","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",1.3312,-26.5347333333333
"Cicadellidae","Flume 11","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",1.5452,-26.8977333333333
"Cicadellidae","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",0.745200000000001,-26.7507333333333
"Cicadellidae","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",0.8902,-26.6877333333333
"Cicadellidae","Flume 14","ALAN + Crayfish","ALAN","Crayfish","Prey","Hemiptera","Cicadellidae",0.916200000000001,-26.7767333333333
"Curculionidae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Coleoptera","Curculionidae",1.7092,-28.3437333333333
"Curculionidae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Coleoptera","Curculionidae",1.7312,-28.0677333333333
"Curculionidae","Flume 1","ALAN + Crayfish","ALAN","Crayfish","Prey","Coleoptera","Curculionidae",1.7592,-28.3607333333333
"Curculionidae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Coleoptera","Curculionidae",2.05908333333333,-27.8665
"Curculionidae","Flume 8","ALAN + Crayfish","ALAN","Crayfish","Prey","Coleoptera","Curculionidae",2.11808333333333,-27.6035
